y;matricula;genero;promedio;gms;Créditos por tomar; Avance %;2017-II_mat1;2017-II_notamat1;2017-II_mat2;2017-II_notamat2;2017-II_mat3;2017-II_notamat3;2017-II_mat4;2017-II_notamat4;2017-II_mat5;2017-II_notamat5;2017-II_mat6;2017-II_notamat6;2017-II_mat7;2017-II_notamat7;2018-I_cmat1;2018-I_notacmat1;2018-I_cmat2;2018-I_notacmat2;2018-I_cmat3;2018-I_notacmat3;2018-I_cmat4;2018-I_notacmat4;2018-I_cmat5;2018-I_notacmat5;2018-I_cmat6;2018-I_notacmat6;2018-I_cmat7;2018-I_notacmat7
1107;201705936;M;8,51;0,743;92;34,75;ARTE Y CIENCIA;10,00;COMUNICACIÓN II;8,30;ESTADÍSTICA;9,64;FÍSICA CONCEPTUAL;7,54;FUNDAMENTOS DE PROGRAMACIÓN;5,20;MATEMÁTICAS FINANCIERAS;7,45;;;BIOLOGÍA;8,95;FUNDAMENTOS DE PROGRAMACIÓN;6,92;HISTORIA DEL ARTE I;8,1;HISTORIA DEL CINE I;8,95;TEORÍA DE LA IMAGEN;7,8;;;;
1108;201801602;F;7,32;0,909;144;12,73; ;;;;;;;;;;;;;;ANÁLISIS Y RESOLUCIÓN DE PROBLEMAS I;8,7;CÁLCULO DE UNA VARIABLE;6,8;COMUNICACIÓN I;6,85;FUNDAMENTOS DE PROGRAMACIÓN;7,6;QUÍMICA GENERAL;7,01;;;;
1109;201706751;M;7,42;1,203;108;33,74;ÁLGEBRA LINEAL;7,28;BIOLOGÍA;8,13;CÁLCULO DE VARIAS VARIABLES;7,18;COMUNICACIÓN II;6,50;FÍSICA I;7,48;;;;;DIBUJO PARA INGENIERÍA;7,15;ESTADÍSTICA DESCRIPTIVA;6,9;FÍSICA II;6,7;FUNDAMENTOS DE PROGRAMACIÓN;6,68;INTRODUCCIÓN A LA ECONOMÍA;6,7;INTRODUCCIÓN A LA INGENIERÍA INDUSTRIAL;8,45;;
1110;201709524;M;7,21;0,383;119;15,6;ANÁLISIS Y RESOLUCIÓN DE PROBLEMAS I;7,35;ARTE Y TECNOLOGÍA;9,32;COMUNICACIÓN I;6,45;MATEMÁTICAS;6,02;;;;;;;ARTE Y CIENCIA;9,44;ESTADÍSTICA;5,74;FÍSICA CONCEPTUAL;7,08;FUNDAMENTOS DE PROGRAMACIÓN;1,16;;;;;;
1111;201703469;M;7,27;1,088;116;27,5;ÁLGEBRA LINEAL;6,28;BIOLOGÍA;7,78;CÁLCULO DE UNA VARIABLE;6,36;COMUNICACIÓN II;6,75;DEPORTE: TENIS;9,75;;;;;CÁLCULO DE VARIAS VARIABLES;6,38;FÍSICA I;6,02;FUNDAMENTOS DE PROGRAMACIÓN;3,68;INGLÉS V;7,01;INTRODUCCIÓN A LA INGENIERÍA EN GEOLOGÍA;7,55;;;;
1112;201715067;M;8,88;2,636;120;25,47;ANÁLISIS Y RESOLUCIÓN DE PROBLEMAS I;9,50;BIOLOGÍA;9,40;CÁLCULO DE UNA VARIABLE;8,00;COMUNICACIÓN I;7,45;QUÍMICA GENERAL;8,22;;;;;ÁLGEBRA LINEAL;9;DEPORTE: AJEDREZ;9,2;DEPORTE: PING PONG;10;FÍSICA I;8,1;FUNDAMENTOS DE PROGRAMACIÓN;9,56;;;;
1113;201710001;M;7,04;0,677;131;19,63;ANÁLISIS Y RESOLUCIÓN DE PROBLEMAS I;8,10;CÁLCULO DE UNA VARIABLE;6,22;COMUNICACIÓN I;6,30;QUÍMICA GENERAL;7,36;;;;;;;ÁLGEBRA LINEAL;5,38;CÁLCULO DE VARIAS VARIABLES;7,16;COMUNICACIÓN II;8,55;FÍSICA I;6,46;FUNDAMENTOS DE PROGRAMACIÓN;6,56;;;;
1114;201712510;M;7,42;0,511;120;14,89;ANÁLISIS Y RESOLUCIÓN DE PROBLEMAS I;7,70;ARTE Y TECNOLOGÍA;9,24;COMUNICACIÓN I;6,40;MATEMÁTICAS;6,02;;;;;;;ARTE Y CIENCIA;8,64;ESTADÍSTICA;6,32;FÍSICA CONCEPTUAL;6,86;FUNDAMENTOS DE PROGRAMACIÓN;1,36;;;;;;
1115;201709656;F;7,61;0,220;115;19,58;ANÁLISIS Y RESOLUCIÓN DE PROBLEMAS I;7,90;COMUNICACIÓN I;7,30;CONTABILIDAD I;7,50;MATEMÁTICAS;7,68;;;;;;;COMUNICACIÓN II;8,3;ESTADÍSTICA;7,84;FUNDAMENTOS DE ADMINISTRACIÓN;8,25;FUNDAMENTOS DE PROGRAMACIÓN;4,4;INTRODUCCIÓN A LA ECONOMÍA;6,5;TEORÍA DEL TURISMO;8,4;;
1116;201400617;F;8,21;1,558;66;54,17;ANÁLISIS Y RESOLUCIÓN DE PROBLEMAS I;9,25;CÁLCULO DE VARIAS VARIABLES;6,76;COMUNICACIÓN II;9,10;ESTUDIO DE CASOS DE CIENCIAS SOCIALES;9,07;FUNDAMENTOS DE MERCADEO;8,70;FUNDAMENTOS DE PROGRAMACIÓN;3,10;;;DERECHO SOCIETARIO Y LABORAL;8,85;ESTADÍSTICA DESCRIPTIVA;6,44;FORMULACIÓN Y EVALUACIÓN DE PROYECTOS;7,81;FUNDAMENTOS DE PROGRAMACIÓN;4,68;GESTIÓN TRIBUTARIA;6,21;INTRODUCCIÓN A LA ECONOMÍA;8,5;;
1117;201613155;F;7,58;0,467;113;29,49;CÁLCULO DE VARIAS VARIABLES;6,40;DEPORTE: ENTRENAMIENTOS DE FUERZA;10,00;FÍSICA I;6,52;FUNDAMENTOS DE PROGRAMACIÓN;5,18;INGLÉS II;9,32;;;;;ESTADÍSTICA DESCRIPTIVA;7,44;FÍSICA II;6,02;FUNDAMENTOS DE PROGRAMACIÓN;8,04;INGLÉS III;8,53;INTRODUCCIÓN A LA INGENIERÍA QUÍMICA;8,9;;;;
1118;201714763;F;7,58;0,603;131;18,63;ANÁLISIS Y RESOLUCIÓN DE PROBLEMAS I;9,40;CÁLCULO DE UNA VARIABLE;6,06;COMUNICACIÓN I;6,15;INGLÉS I;9,11;QUÍMICA GENERAL;7,15;;;;;ÁLGEBRA LINEAL;7,6;BIOLOGÍA;8,65;CÁLCULO DE VARIAS VARIABLES;7,1;COMUNICACIÓN II;8,55;FUNDAMENTOS DE PROGRAMACIÓN;7,36;;;;
1119;201805918;F;7,68;0,348;137;14,91; ;;;;;;;;;;;;;;ANÁLISIS Y RESOLUCIÓN DE PROBLEMAS I;8,9;CÁLCULO DE UNA VARIABLE;7,26;COMUNICACIÓN I;7,5;FUNDAMENTOS DE PROGRAMACIÓN;6;;;;;;
1120;201706801;M;7,9;0,481;119;26,99; ;;;;;;;;;;;;;;ÁLGEBRA LINEAL;6,66;BIOLOGÍA;9;CÁLCULO DE VARIAS VARIABLES;6,08;COMUNICACIÓN II;8,45;DEPORTE: NATACIÓN;10;FÍSICA I;6,6;FUNDAMENTOS DE PROGRAMACIÓN;7,16
1121;201711090;F;7,58;0,787;128;19,5;ANÁLISIS Y RESOLUCIÓN DE PROBLEMAS I;9,40;CÁLCULO DE UNA VARIABLE;5,04;COMUNICACIÓN I;7,00;QUÍMICA GENERAL;6,58;;;;;;;ÁLGEBRA LINEAL;5,06;BIOLOGÍA;7,7;CÁLCULO DE UNA VARIABLE;6,5;COMUNICACIÓN II;8,55;FUNDAMENTOS DE PROGRAMACIÓN;8,2;;;;
